"CATEGORIE_PRODUIT","PAYS","TRIMESTRE"
"Viandes","Etats-Unis","Trimestre 4"
"Viandes","Su?de","Trimestre 1"
"Viandes","Espagne","Trimestre 2"
"Viandes","Etats-Unis","Trimestre 2"
"Poissons et fruits de mer","Mexique","Trimestre 3"
"Poissons et fruits de mer","Br?sil","Trimestre 1"
"Desserts","Br?sil","Trimestre 1"
"Desserts","Italie","Trimestre 4"
"Desserts","Venezuela","Trimestre 1"
"Desserts","Mexique","Trimestre 2"
"Boissons","Autriche","Trimestre 3"
"Boissons","Br?sil","Trimestre 2"
"Desserts","Mexique","Trimestre 3"
"Desserts","Autriche","Trimestre 1"
"Desserts","France","Trimestre 3"
"P?tes et c?r?ales","France","Trimestre 1"
"P?tes et c?r?ales","Royaume-Uni","Trimestre 4"
"Boissons","Italie","Trimestre 3"
"Boissons","Portugal","Trimestre 4"
"Boissons","France","Trimestre 4"
"Produits laitiers","Italie","Trimestre 1"
"Produits laitiers","France","Trimestre 1"
"Produits laitiers","Mexique","Trimestre 4"
"Produits laitiers","Autriche","Trimestre 1"
"Produits laitiers","Argentine","Trimestre 2"
"Boissons","Irlande","Trimestre 2"
"Boissons","Finlande","Trimestre 2"
"Boissons","Mexique","Trimestre 2"
"Condiments","Espagne","Trimestre 4"
"Condiments","Br?sil","Trimestre 3"
"Condiments","Royaume-Uni","Trimestre 4"
"Poissons et fruits de mer","Royaume-Uni","Trimestre 4"
"Poissons et fruits de mer","Danemark","Trimestre 1"
"Poissons et fruits de mer","Royaume-Uni","Trimestre 1"
"P?tes et c?r?ales","France","Trimestre 4"
"P?tes et c?r?ales","Canada","Trimestre 4"
"P?tes et c?r?ales","Belgique","Trimestre 2"
"P?tes et c?r?ales","Autriche","Trimestre 3"
"Boissons","Finlande","Trimestre 3"
"Condiments","Allemagne","Trimestre 3"
"Condiments","Br?sil","Trimestre 2"
"Boissons","Norv?ge","Trimestre 2"
"Produits secs","Finlande","Trimestre 1"
"Condiments","Venezuela","Trimestre 2"
"Condiments","Su?de","Trimestre 1"
"Produits laitiers","Royaume-Uni","Trimestre 4"
"Produits laitiers","Royaume-Uni","Trimestre 1"
"Boissons","Suisse","Trimestre 1"
"Desserts","Irlande","Trimestre 2"
"Produits secs","Royaume-Uni","Trimestre 2"
"Produits secs","Suisse","Trimestre 2"
"Viandes","Espagne","Trimestre 4"
"Viandes","Suisse","Trimestre 2"
"Viandes","Italie","Trimestre 3"
"Viandes","Danemark","Trimestre 4"
"Viandes","Su?de","Trimestre 4"
"Viandes","Br?sil","Trimestre 4"
"P?tes et c?r?ales","Suisse","Trimestre 2"
"P?tes et c?r?ales","Espagne","Trimestre 3"
"Produits laitiers","Italie","Trimestre 4"
"Condiments","Espagne","Trimestre 2"
"Desserts","Pologne","Trimestre 2"
"Condiments","France","Trimestre 3"
"Condiments","Italie","Trimestre 4"
"Produits secs","Danemark","Trimestre 3"
"Viandes","France","Trimestre 1"
"Poissons et fruits de mer","France","Trimestre 4"
"Poissons et fruits de mer","France","Trimestre 3"
"Poissons et fruits de mer","Allemagne","Trimestre 3"
"Desserts","Venezuela","Trimestre 3"
"Desserts","Etats-Unis","Trimestre 4"
"Desserts","Allemagne","Trimestre 3"
"Boissons","Suisse","Trimestre 3"
"Boissons","Pologne","Trimestre 3"
"Boissons","Venezuela","Trimestre 3"
"Boissons","Italie","Trimestre 2"
"Boissons","Allemagne","Trimestre 2"
"Desserts","Autriche","Trimestre 2"
"Desserts","Autriche","Trimestre 4"
"Desserts","Portugal","Trimestre 1"
"Desserts","Argentine","Trimestre 4"
"P?tes et c?r?ales","Italie","Trimestre 3"
"P?tes et c?r?ales","Allemagne","Trimestre 4"
"P?tes et c?r?ales","Venezuela","Trimestre 1"
"Boissons","Royaume-Uni","Trimestre 2"
